# Force coefficients
# liftDir         : (-1.7364796312e-01 0.0000000000e+00 9.8480779084e-01)
# dragDir         : (9.8480779084e-01 0.0000000000e+00 1.7364796312e-01)
# pitchAxis       : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 5.2159694500e+01
# lRef            : 1.0000000000e+00
# Aref            : 1.0000000000e+00
# CofR            : (2.0000000000e-01 0.0000000000e+00 0.0000000000e+00)
# Time            	Cm                	Cd                	Cl                	Cl(f)             	Cl(r)             
79                	-1.9837353639e-01	1.6249498600e-01	1.0321257272e+00	3.1768932720e-01	7.1443639997e-01
80                	-1.9509811922e-01	1.5950536422e-01	1.0145387455e+00	3.1217125354e-01	7.0236749197e-01
81                	-1.9291711632e-01	1.5703062500e-01	9.9966200685e-01	3.0691388710e-01	6.9274811975e-01
82                	-1.9211538404e-01	1.5562348157e-01	9.9066077591e-01	3.0321500392e-01	6.8744577199e-01
83                	-1.9203095953e-01	1.5460839258e-01	9.8357449351e-01	2.9975628723e-01	6.8381820628e-01
84                	-1.9235997632e-01	1.5325368032e-01	9.7543508892e-01	2.9535756814e-01	6.8007752078e-01
85                	-1.9431194849e-01	1.5177728116e-01	9.6094622203e-01	2.8616116252e-01	6.7478505951e-01
86                	-1.9777497780e-01	1.5145749465e-01	9.5258141723e-01	2.7851573082e-01	6.7406568641e-01
87                	-2.0252480794e-01	1.5124554000e-01	9.4344795717e-01	2.6919917065e-01	6.7424878652e-01
88                	-2.0848105725e-01	1.5165692930e-01	9.3830621230e-01	2.6067204890e-01	6.7763416340e-01
89                	-2.1569424172e-01	1.5275184405e-01	9.3801659347e-01	2.5331405501e-01	6.8470253845e-01
90                	-2.2483222702e-01	1.5505244283e-01	9.4497157233e-01	2.4765355914e-01	6.9731801319e-01
91                	-2.3555280449e-01	1.5785727307e-01	9.5480344352e-01	2.4184891727e-01	7.1295452625e-01
92                	-2.4614926414e-01	1.6035413233e-01	9.6422293521e-01	2.3596220347e-01	7.2826073174e-01
93                	-2.5548707512e-01	1.6203384279e-01	9.7025425691e-01	2.2964005334e-01	7.4061420357e-01
94                	-2.6316372874e-01	1.6298096356e-01	9.7340679608e-01	2.2353966930e-01	7.4986712678e-01
95                	-2.6947071584e-01	1.6352003155e-01	9.7525490229e-01	2.1815673531e-01	7.5709816698e-01
96                	-2.7510254058e-01	1.6402962986e-01	9.7614171910e-01	2.1296831897e-01	7.6317340013e-01
97                	-2.7690660617e-01	1.6291323537e-01	9.7387204233e-01	2.1002941499e-01	7.6384262734e-01
98                	-2.7677527965e-01	1.6075210191e-01	9.6636987361e-01	2.0640965716e-01	7.5996021645e-01
99                	-2.7301973851e-01	1.5690801494e-01	9.5157172412e-01	2.0276612356e-01	7.4880560057e-01
100               	-2.6647308269e-01	1.5202201708e-01	9.3102823747e-01	1.9904103604e-01	7.3198720142e-01
101               	-2.5794002795e-01	1.4671800352e-01	9.0677424716e-01	1.9544709563e-01	7.1132715153e-01
102               	-2.4673063208e-01	1.4065338394e-01	8.7769622789e-01	1.9211748186e-01	6.8557874602e-01
103               	-2.3302160348e-01	1.3377489771e-01	8.4331460079e-01	1.8863569692e-01	6.5467890387e-01
104               	-2.1604433744e-01	1.2568389864e-01	8.0193243390e-01	1.8492187951e-01	6.1701055439e-01
105               	-1.9562622889e-01	1.1631472031e-01	7.5335907956e-01	1.8105331088e-01	5.7230576867e-01
106               	-1.7243789693e-01	1.0598447225e-01	6.9847787443e-01	1.7680104028e-01	5.2167683414e-01
107               	-1.4652285458e-01	9.4853938534e-02	6.3820357631e-01	1.7257893357e-01	4.6562464274e-01
108               	-1.1848912984e-01	8.3199965325e-02	5.7374390382e-01	1.6838282208e-01	4.0536108175e-01
109               	-8.8697804456e-02	7.1092214686e-02	5.0531570673e-01	1.6396004891e-01	3.4135565782e-01
110               	-5.7211726956e-02	5.8459703274e-02	4.3297236923e-01	1.5927445766e-01	2.7369791157e-01
111               	-2.4552080277e-02	4.5390845928e-02	3.5710222500e-01	1.5399903222e-01	2.0310319278e-01
112               	8.2056442743e-03	3.2378620361e-02	2.8016415596e-01	1.4828772225e-01	1.3187643371e-01
113               	4.1178385993e-02	1.9175313548e-02	1.9962907907e-01	1.4099292553e-01	5.8636153543e-02
114               	6.9553119390e-02	8.1986668451e-03	1.3037177688e-01	1.3473900783e-01	-4.3672309502e-03
115               	9.2292057929e-02	4.0325710614e-05	7.5073823917e-02	1.2982896989e-01	-5.4755145970e-02
116               	1.0883535360e-01	-5.1489225744e-03	3.5537102583e-02	1.2660390489e-01	-9.1066802309e-02
117               	1.2463392072e-01	-1.0382490544e-02	-6.4159061890e-03	1.2142596763e-01	-1.2784187382e-01
118               	1.3053129142e-01	-1.0883113167e-02	-2.1348393172e-02	1.1985709483e-01	-1.4120548800e-01
119               	1.2759295662e-01	-7.2073628114e-03	-1.3891631406e-02	1.2064714092e-01	-1.3453877232e-01
120               	1.1894640598e-01	-9.0279304472e-04	1.0530427770e-02	1.2421161986e-01	-1.1368119209e-01
121               	1.0620219580e-01	7.1273075309e-03	4.9265465375e-02	1.3083492849e-01	-8.1569463116e-02
