# Force coefficients
# liftDir         : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 2.5000000000e+02
# lRef            : 1.0000000000e+00
# Aref            : 1.0000000000e+00
# CofR            : (2.0000000000e-01 0.0000000000e+00 0.0000000000e+00)
# Time            	Cm                	Cd                	Cl                	Cl(f)             	Cl(r)             
126               	-1.0833081541e-04	1.0371760432e-02	6.9807145322e-04	2.4070491120e-04	4.5736654202e-04
127               	-1.0702007175e-04	1.0362306303e-02	6.8651276292e-04	2.3623630971e-04	4.5027645321e-04
128               	-1.0637889899e-04	1.0349521100e-02	6.7909204333e-04	2.3316712268e-04	4.4592492065e-04
129               	-1.0594113211e-04	1.0339623692e-02	6.7206498715e-04	2.3009136147e-04	4.4197362568e-04
130               	-1.0531384678e-04	1.0334788870e-02	6.6267954370e-04	2.2602592508e-04	4.3665361863e-04
131               	-1.0482343109e-04	1.0330127613e-02	6.5277427703e-04	2.2156370742e-04	4.3121056960e-04
132               	-1.0501919479e-04	1.0321406875e-02	6.4543250737e-04	2.1769705890e-04	4.2773544847e-04
133               	-1.0550190240e-04	1.0311178268e-02	6.3947778434e-04	2.1423698977e-04	4.2524079457e-04
134               	-1.0557726918e-04	1.0303242553e-02	6.3236152081e-04	2.1060349123e-04	4.2175802958e-04
135               	-1.0522356481e-04	1.0297103944e-02	6.2437789846e-04	2.0696538442e-04	4.1741251404e-04
136               	-1.0481108797e-04	1.0289255502e-02	6.1744907894e-04	2.0391345150e-04	4.1353562744e-04
137               	-1.0451656325e-04	1.0279112644e-02	6.1173106690e-04	2.0134897020e-04	4.1038209670e-04
138               	-1.0430520942e-04	1.0269308599e-02	6.0591865210e-04	1.9865411663e-04	4.0726453547e-04
139               	-1.0407489073e-04	1.0261726812e-02	5.9904875841e-04	1.9544948847e-04	4.0359926994e-04
140               	-1.0380424344e-04	1.0255270632e-02	5.9167940171e-04	1.9203545741e-04	3.9964394430e-04
141               	-1.0345571810e-04	1.0247887338e-02	5.8473644268e-04	1.8891250324e-04	3.9582393944e-04
142               	-1.0290298642e-04	1.0239533903e-02	5.7794089279e-04	1.8606745997e-04	3.9187343282e-04
143               	-1.0219273982e-04	1.0231281876e-02	5.7084033459e-04	1.8322742747e-04	3.8761290712e-04
144               	-1.0180730826e-04	1.0223231557e-02	5.6432722333e-04	1.8035630340e-04	3.8397091993e-04
145               	-1.0211388513e-04	1.0214411666e-02	5.5955113970e-04	1.7766168472e-04	3.8188945498e-04
146               	-1.0307437856e-04	1.0204601790e-02	5.5674633918e-04	1.7529879103e-04	3.8144754814e-04
147               	-1.0427497069e-04	1.0195007772e-02	5.5485340306e-04	1.7315173085e-04	3.8170167222e-04
148               	-1.0523673151e-04	1.0186884419e-02	5.5242339358e-04	1.7097496529e-04	3.8144842830e-04
149               	-1.0580637569e-04	1.0180028250e-02	5.4898121071e-04	1.6868422967e-04	3.8029698104e-04
150               	-1.0611576743e-04	1.0172962341e-02	5.4501451688e-04	1.6639149101e-04	3.7862302586e-04
151               	-1.0636862799e-04	1.0164746318e-02	5.4120171347e-04	1.6423222875e-04	3.7696948472e-04
152               	-1.0663694956e-04	1.0155878757e-02	5.3769354196e-04	1.6220982142e-04	3.7548372054e-04
153               	-1.0682879443e-04	1.0147288744e-02	5.3418176023e-04	1.6026208569e-04	3.7391967454e-04
154               	-1.0684986521e-04	1.0139148762e-02	5.3051012098e-04	1.5840519528e-04	3.7210492570e-04
155               	-1.0667319882e-04	1.0130982695e-02	5.2675790544e-04	1.5670575390e-04	3.7005215154e-04
156               	-1.0629162689e-04	1.0122604393e-02	5.2286617465e-04	1.5514146043e-04	3.6772471422e-04
157               	-1.0569566267e-04	1.0114374535e-02	5.1856300089e-04	1.5358583778e-04	3.6497716311e-04
158               	-1.0495788107e-04	1.0106574758e-02	5.1383073799e-04	1.5195748792e-04	3.6187325007e-04
159               	-1.0425815435e-04	1.0098962700e-02	5.0915996704e-04	1.5032182917e-04	3.5883813787e-04
160               	-1.0375654003e-04	1.0091125569e-02	5.0512528861e-04	1.4880610428e-04	3.5631918433e-04
161               	-1.0348225083e-04	1.0083025882e-02	5.0187664295e-04	1.4745607065e-04	3.5442057230e-04
162               	-1.0334562453e-04	1.0074934700e-02	4.9912552105e-04	1.4621713599e-04	3.5290838506e-04
163               	-1.0324860795e-04	1.0066978443e-02	4.9654202057e-04	1.4502240233e-04	3.5151961824e-04
164               	-1.0317454828e-04	1.0059007181e-02	4.9403895032e-04	1.4384492688e-04	3.5019402344e-04
165               	-1.0313819690e-04	1.0050910087e-02	4.9164113421e-04	1.4268237020e-04	3.4895876401e-04
166               	-1.0313182112e-04	1.0042838398e-02	4.8931778889e-04	1.4152707333e-04	3.4779071557e-04
167               	-1.0312632435e-04	1.0035005633e-02	4.8701025852e-04	1.4037880491e-04	3.4663145361e-04
168               	-1.0309419512e-04	1.0027396979e-02	4.8472734847e-04	1.3926947911e-04	3.4545786936e-04
169               	-1.0302092110e-04	1.0019797124e-02	4.8253374165e-04	1.3824594972e-04	3.4428779193e-04
170               	-1.0232103845e-04	1.0013929528e-02	4.7609969487e-04	1.3572880898e-04	3.4037088589e-04
171               	-1.0250201480e-04	1.0001405146e-02	4.7571247676e-04	1.3535422357e-04	3.4035825318e-04
172               	-1.0290585395e-04	9.9877715686e-03	4.7766991130e-04	1.3592910170e-04	3.4174080960e-04
173               	-1.0264879067e-04	9.9803031762e-03	4.7696690169e-04	1.3583466018e-04	3.4113224151e-04
174               	-1.0169588231e-04	9.9783564531e-03	4.7268948873e-04	1.3464886205e-04	3.3804062668e-04
175               	-1.0073171992e-04	9.9752273914e-03	4.6763387898e-04	1.3308521957e-04	3.3454865941e-04
176               	-1.0032042186e-04	9.9666165894e-03	4.6463409550e-04	1.3199662590e-04	3.3263746961e-04
177               	-1.0036592889e-04	9.9545856426e-03	4.6389847439e-04	1.3158330831e-04	3.3231516608e-04
178               	-1.0035190308e-04	9.9439903612e-03	4.6354984990e-04	1.3142302187e-04	3.3212682803e-04
179               	-9.9953637600e-05	9.9371559042e-03	4.6196436369e-04	1.3102854424e-04	3.3093581944e-04
180               	-9.9317431285e-05	9.9324118798e-03	4.5921772134e-04	1.3029142938e-04	3.2892629195e-04
181               	-9.8811209907e-05	9.9267088238e-03	4.5654203218e-04	1.2945980618e-04	3.2708222600e-04
